Key,en,fr-FR,es
bnjr,hello,bonjour,buenos días
bnvn,welcome,bienvenu,bienvenido
slt,hi,salut,hola
rvr,goodbye,au revoir,adiós
sltprtvlmb,"Hi pirate, here is my shop! We offer two types of ships: a big but slow ship, or a small but faster one.",Salut pirate voilà ma boutique ! On peut te proposer deux types de navires : un grand navire mais lent ou un petit mais plus rapide,"¡Hola, pirata! ¡Aquí está mi tienda! Te podemos ofrecer dos tipos de barcos: un barco grande pero lento, o uno pequeño pero más rápido."
tschslgrnd,You chose the big ship. I have two in stock,Tu as choisi le grand navire  Je t'en propose deux qui sont en stock,Has elegido el barco grande. Tengo dos en stock
tschslpttn,You chose the small ship. I have two in stock,Tu as choisi le petit navire  Je t'en propose deux qui sont en stock,Has elegido el barco pequeño. Tengo dos en stock
mrcdvrchtl,Thanks for buying RMS Titanic,Merci d'avoir acheté Le RMS Titanic,Gracias por comprar el RMS Titanic
mrcdvrchtl_2,Thanks for buying Santa Maria,Merci d'avoir acheté La Santa Maria,Gracias por comprar La Santa Maria
mrcdvrchtl_3,Thanks for buying Thousand Sunny,Merci d'avoir acheté Le Thousand Sunny,Gracias por comprar el Thousand Sunny
mrcdvrchtl_4,Thanks for buying Calypso,Merci d'avoir acheté La Calypso,Gracias por comprar el Calypso
tnspssszdr,You don't have enough money,Tu n'as pas assez d'argent,No tienes suficiente dinero
